File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Dropbox\PythonProject\Projects\Scribus\scribus\designer\smwidgets\make_cmakelists.py,"%(i.upper(), i.upper())",1,1,1,0,0,0,0,0,
C:\Dropbox\PythonProject\Projects\Scribus\scribus\designer\smwidgets\make_cmakelists.py,"% (i.upper(), i.upper(), i.upper(), i.upper()))  out.append('\nIF(APPLE)",1,1,1,0,0,0,0,0,
